"created_date","modified_date","section_name_pk","section_name"
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,1,Group C
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,2,round_2
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,3,All-Star Exhibition
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,4,Groups
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,5,Group A
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,6,round_1
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,7,Play In Groups
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,8,play_in_knockouts
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,9,Regional Finals
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,10,Regular Season
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,11,Group B
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,12,regional_qualifier
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,13,Round Robin
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,14,Playoffs
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,15,promotion
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,16,Group D
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,17,weekend_5
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,18,Play In Knockouts
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,19,bracket
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,20,knockouts