"created_date","modified_date","stage_slug_pk","stage_slug_slug"
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,1,regionals 
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,2,round_2
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,3,play_in_group
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,4,groups
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,5,round_1
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,6,elim
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,7,play_in_knockouts
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,8,regional_qualifier
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,9,playoffs
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,10,west
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,11,regular_season
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,12,bracket_stage
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,13,promotion
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,14,regional_finals
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,15,promotion_series
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,16,play_in_elim
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,17,knockouts
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,18,east